PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Provincia de Buenos Aires.,Rojas,22.842,23.432,590,"2,6"
Corrientes,Empedrado,14.721,15.109,388,"2,6"
Provincia de Buenos Aires.,General Viamonte,17.641,18.078,437,"2,5"
Corrientes,San Roque,17.951,18.366,415,"2,3"
La Pampa,Utracán,14.504,14.839,335,"2,3"
Neuquen,Minas,7.072,7.234,162,"2,3"
Jujuy,Tumbaya,4.553,4.658,105,"2,3"
Chubut,Languiñeo,3.017,3.085,68,"2,3"
Chaco,Maipú,24.747,25.288,541,"2,2"
Chaco,Presidencia de la Plaza,12.231,12.499,268,"2,2"
Provincia de Buenos Aires.,Coronel de Marina Leonardo Rosales,60.892,62.152,1.260,"2,1"
Neuquen,Zapala,35.806,36.549,743,"2,1"
Misiones,25 de Mayo,27.187,27.754,567,"2,1"
Provincia de Buenos Aires.,General Alvear,10.897,11.130,233,"2,1"
